City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,carnarvon,-24.8667,113.6333,75.2,60,40,13.8,AU,2021-01-23 17:47:30
126,los llanos de aridane,28.6585,-17.9182,68.0,73,20,5.75,ES,2021-01-23 17:46:20
127,ewa beach,21.3156,-158.0072,73.4,73,40,6.91,US,2021-01-23 17:47:30
128,hermanus,-34.4187,19.2345,64.99,94,39,3.0,ZA,2021-01-23 17:47:30
129,tiarei,-17.5333,-149.3333,77.0,78,20,2.3,PF,2021-01-23 17:47:30
130,domoni,-12.2569,44.5319,80.01,76,95,2.01,KM,2021-01-23 17:47:31
131,volkhovskiy,58.58,31.3164,34.05,98,100,5.3,RU,2021-01-23 17:47:31
132,bengkulu,-3.8004,102.2655,77.32,83,100,5.75,ID,2021-01-23 17:47:31
133,sept-iles,50.2001,-66.3821,19.0,86,68,8.05,CA,2021-01-23 17:47:31
134,kalmar,56.6616,16.3616,37.0,100,40,2.3,SE,2021-01-23 17:47:31
135,bitung,1.4451,125.1824,75.2,100,20,1.14,ID,2021-01-23 17:47:31
136,avarua,-21.2078,-159.775,82.4,74,40,10.36,CK,2021-01-23 17:47:32
137,puerto cabezas,14.0351,-83.3888,84.2,84,75,6.91,NI,2021-01-23 17:47:32
138,bluff,-46.6,168.3333,53.01,88,97,5.01,NZ,2021-01-23 17:47:32
139,kurmanayevka,52.5093,52.0675,17.11,96,100,10.85,RU,2021-01-23 17:47:32
140,sarkand,45.41,79.9186,13.39,82,100,6.8,KZ,2021-01-23 17:47:33
141,tiksi,71.6872,128.8694,-42.61,79,35,5.41,RU,2021-01-23 17:47:33
142,bethel,41.3712,-73.414,28.99,40,20,13.8,US,2021-01-23 17:46:09
143,bud,39.447,-86.1758,28.99,64,59,6.2,US,2021-01-23 17:47:33
144,eyemouth,55.8713,-2.0901,30.99,85,0,9.93,GB,2021-01-23 17:47:33
145,porto belo,-27.1578,-48.5531,78.8,83,40,5.75,BR,2021-01-23 17:47:33
146,todos santos,23.45,-110.2167,66.99,68,73,8.01,MX,2021-01-23 17:47:33
147,sitka,57.0531,-135.33,37.4,87,90,5.06,US,2021-01-23 17:47:34
148,gualaquiza,-3.4,-78.55,69.12,83,87,0.81,EC,2021-01-23 17:47:34
149,new norfolk,-42.7826,147.0587,57.99,69,54,2.42,AU,2021-01-23 17:47:34
150,bathurst,-33.4166,149.5806,61.0,76,0,1.72,AU,2021-01-23 17:47:34
151,gorontalo,0.5412,123.0595,74.98,86,100,3.89,ID,2021-01-23 17:47:34
152,upernavik,72.7868,-56.1549,21.27,80,97,6.91,GL,2021-01-23 17:46:07
153,livingston,55.9029,-3.5226,30.99,86,0,8.05,GB,2021-01-23 17:47:35
154,taltal,-25.4,-70.4833,71.62,58,40,6.51,CL,2021-01-23 17:47:35
155,mount gambier,-37.8333,140.7667,60.8,82,75,4.61,AU,2021-01-23 17:47:35
156,fehergyarmat,47.9833,22.5167,48.2,61,75,5.75,HU,2021-01-23 17:47:35
157,nantucket,41.2835,-70.0995,32.0,51,20,17.27,US,2021-01-23 17:47:35
158,bluefield,37.2698,-81.2223,32.0,46,1,4.61,US,2021-01-23 17:44:28
159,mandali,33.7499,45.5541,51.17,44,73,2.59,IQ,2021-01-23 17:47:36
160,nioro,13.35,-15.75,95.61,9,96,8.12,GM,2021-01-23 17:47:36
161,sao filipe,14.8961,-24.4956,76.35,62,92,5.82,CV,2021-01-23 17:47:03
162,cidreira,-30.1811,-50.2056,78.87,73,1,12.97,BR,2021-01-23 17:47:36
163,araouane,18.9048,-3.5265,72.36,14,0,9.26,ML,2021-01-23 17:47:36
164,namibe,-15.1961,12.1522,74.98,74,91,8.72,AO,2021-01-23 17:47:36
165,ribnica,45.7386,14.7275,44.01,89,100,5.28,SI,2021-01-23 17:47:37
166,heihe,50.2441,127.4902,-5.8,84,79,11.18,CN,2021-01-23 17:47:37
167,coahuayana,18.7333,-103.6833,78.8,47,75,3.91,MX,2021-01-23 17:47:37
168,port alfred,-33.5906,26.891,73.0,88,61,8.99,ZA,2021-01-23 17:47:11
169,narsaq,60.9167,-46.05,30.2,31,1,14.97,GL,2021-01-23 17:47:37
170,beloha,-25.1667,45.05,79.05,81,67,12.12,MG,2021-01-23 17:47:37
171,kahului,20.8947,-156.47,71.6,73,20,13.8,US,2021-01-23 17:46:12
172,minna,9.6139,6.5569,91.4,19,100,5.75,NG,2021-01-23 17:47:38
173,petrovskaya,45.4314,37.955,46.4,66,75,13.42,RU,2021-01-23 17:47:38
174,ajaccio,42.0,8.9167,55.4,71,75,17.27,FR,2021-01-23 17:47:38
175,tiznit,29.5833,-9.5,61.84,68,36,4.32,MA,2021-01-23 17:47:38
176,chicama,-7.8447,-79.1469,73.4,78,20,8.05,PE,2021-01-23 17:47:38
177,ternate,0.8,127.4,78.66,83,100,8.97,ID,2021-01-23 17:47:38
178,kigoma,-4.8769,29.6267,75.69,73,96,2.77,TZ,2021-01-23 17:47:38
179,mana,5.6592,-53.7767,79.5,87,97,12.77,GF,2021-01-23 17:47:39
180,mikumi,-7.4041,36.9831,71.44,91,100,3.71,TZ,2021-01-23 17:47:39
181,miri,4.4148,114.0089,77.0,100,40,1.72,MY,2021-01-23 17:47:39
182,bredasdorp,-34.5322,20.0403,69.8,68,21,18.41,ZA,2021-01-23 17:47:39
183,pevek,69.7008,170.3133,-11.02,90,100,8.77,RU,2021-01-23 17:45:43
184,qaanaaq,77.484,-69.3632,17.26,79,100,2.44,GL,2021-01-23 17:47:39
185,aguadas,5.6116,-75.4562,66.99,68,75,2.3,CO,2021-01-23 17:47:39
186,gaoual,11.75,-13.2,96.33,9,40,6.13,GN,2021-01-23 17:47:39
187,ancud,-41.8697,-73.8203,68.0,64,40,8.05,CL,2021-01-23 17:45:32
188,tabou,4.423,-7.3528,80.46,81,16,8.97,CI,2021-01-23 17:47:40
189,vao,-22.6667,167.4833,76.32,81,98,27.11,NC,2021-01-23 17:47:40
190,mirpur sakro,24.5474,67.6277,66.2,26,0,5.75,PK,2021-01-23 17:47:40
191,manaus,-3.1019,-60.025,86.0,70,40,5.75,BR,2021-01-23 17:47:40
192,viedma,-40.8135,-62.9967,85.73,33,36,21.36,AR,2021-01-23 17:47:40
193,havre-saint-pierre,50.2334,-63.5986,19.4,93,90,18.41,CA,2021-01-23 17:47:40
194,yulara,-25.2406,130.9889,71.6,100,40,8.05,AU,2021-01-23 17:47:02
195,piopio,-38.4667,175.0167,59.0,95,70,3.76,NZ,2021-01-23 17:47:41
196,atocha,-20.9333,-66.2333,54.27,53,94,6.42,BO,2021-01-23 17:47:41
197,ribeira grande,38.5167,-28.7,62.6,94,75,10.36,PT,2021-01-23 17:47:41
198,proletarsk,46.7031,41.7192,31.95,94,98,9.6,RU,2021-01-23 17:47:41
199,touros,-5.1989,-35.4608,86.0,66,75,16.11,BR,2021-01-23 17:47:41
200,severo-kurilsk,50.6789,156.125,22.59,95,95,34.02,RU,2021-01-23 17:45:39
201,cayenne,4.9333,-52.3333,78.8,100,75,8.05,GF,2021-01-23 17:47:42
202,glace bay,46.1969,-59.957,30.99,64,75,18.41,CA,2021-01-23 17:47:42
203,beecher,43.09,-83.6944,24.8,54,40,9.22,US,2021-01-23 17:47:42
204,erdenet,49.0333,104.0833,5.2,93,99,3.49,MN,2021-01-23 17:47:42
205,ionia,42.9873,-85.0711,28.99,54,1,5.75,US,2021-01-23 17:47:42
206,yarada,17.65,83.2667,73.4,100,20,2.3,IN,2021-01-23 17:47:42
207,longhua,23.6137,114.1919,55.81,69,5,2.8,CN,2021-01-23 17:47:43
208,henties bay,-22.116,14.2845,72.0,83,99,6.24,NA,2021-01-23 17:47:43
209,sassandra,4.95,-6.0833,80.92,77,53,9.1,CI,2021-01-23 17:47:43
210,hofn,64.2539,-15.2082,34.23,84,100,28.16,IS,2021-01-23 17:47:43
211,iqaluit,63.7506,-68.5145,15.8,86,20,12.66,CA,2021-01-23 17:47:43
212,nagapattinam,10.7667,79.8333,75.29,78,0,8.32,IN,2021-01-23 17:47:43
213,hami,42.8,93.45,24.98,78,100,2.84,CN,2021-01-23 17:47:44
214,castro,-24.7911,-50.0119,73.72,82,90,3.91,BR,2021-01-23 17:47:44
215,khatanga,71.9667,102.5,-28.05,83,100,11.92,RU,2021-01-23 17:45:37
216,san juan,-31.5375,-68.5364,98.04,15,0,7.2,AR,2021-01-23 17:45:18
217,sain alto,23.5833,-103.25,73.31,21,6,18.97,MX,2021-01-23 17:47:44
218,mapimi,25.8167,-103.85,75.2,31,75,5.21,MX,2021-01-23 17:47:44
