City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
99,cayenne,4.9333,-52.3333,77.0,100,75,9.22,GF,2021-01-23 22:37:09,moderate rain
100,ileza,61.0533,43.9002,20.25,98,100,6.4,RU,2021-01-23 22:44:27,light snow
101,moose factory,51.2585,-80.6094,-2.2,60,1,5.75,CA,2021-01-23 22:44:27,clear sky
102,esso,55.9333,158.7,-0.27,75,0,2.04,RU,2021-01-23 22:42:36,clear sky
103,ponta do sol,32.6667,-17.1,60.01,78,100,1.01,PT,2021-01-23 22:41:14,overcast clouds
104,sitka,57.0531,-135.33,37.4,87,90,10.36,US,2021-01-23 22:41:34,light rain
105,kavieng,-2.5744,150.7967,83.93,71,91,8.32,PG,2021-01-23 22:44:28,light rain
106,iralaya,15.0,-83.2333,78.62,79,14,9.24,HN,2021-01-23 22:44:28,few clouds
107,mbini,1.574,9.6134,78.8,100,40,6.67,GQ,2021-01-23 22:44:28,scattered clouds
108,kaitangata,-46.2817,169.8464,66.99,42,90,14.0,NZ,2021-01-23 22:37:02,overcast clouds
109,eyl,7.9803,49.8164,72.57,71,68,16.69,SO,2021-01-23 22:41:15,broken clouds
110,emmett,43.8735,-116.4993,41.0,62,0,7.0,US,2021-01-23 22:44:29,clear sky
111,hilo,19.7297,-155.09,80.6,57,75,3.44,US,2021-01-23 22:41:29,light rain
112,san cristobal,7.7669,-72.225,84.2,58,40,9.22,VE,2021-01-23 22:41:26,scattered clouds
113,pacific grove,36.6177,-121.9166,55.0,54,1,5.75,US,2021-01-23 22:42:19,clear sky
114,miri,4.4148,114.0089,77.0,94,20,2.3,MY,2021-01-23 22:41:39,few clouds
115,rafaela,-31.2503,-61.4867,89.01,44,40,5.01,AR,2021-01-23 22:44:29,scattered clouds
116,longyearbyen,78.2186,15.6401,3.97,82,0,3.4,SJ,2021-01-23 22:41:13,clear sky
117,butaritari,3.0707,172.7902,79.81,80,80,10.47,KI,2021-01-23 22:41:16,broken clouds
118,tuktoyaktuk,69.4541,-133.0374,-20.2,76,20,14.97,CA,2021-01-23 22:41:26,snow
119,caxias,38.7031,-9.2767,59.0,100,75,11.5,PT,2021-01-23 22:44:30,broken clouds
120,barrow,71.2906,-156.7887,6.8,78,1,19.57,US,2021-01-23 22:40:02,clear sky
121,jishou,28.3167,109.7167,47.98,76,84,1.97,CN,2021-01-23 22:44:30,broken clouds
122,nikolskoye,59.7035,30.7861,33.8,86,90,8.95,RU,2021-01-23 22:41:15,light snow
123,leopold,-38.1833,144.4667,73.99,78,87,6.91,AU,2021-01-23 22:44:30,overcast clouds
124,santa maria,-29.6842,-53.8069,86.0,58,20,5.75,BR,2021-01-23 22:44:16,few clouds
125,nanortalik,60.1432,-45.2371,22.77,88,0,7.58,GL,2021-01-23 22:41:48,clear sky
126,iqaluit,63.7506,-68.5145,14.0,92,1,19.57,CA,2021-01-23 22:38:28,clear sky
127,klaksvik,62.2266,-6.589,32.0,86,75,27.56,FO,2021-01-23 22:42:05,light rain
128,covington,39.0837,-84.5086,32.0,40,75,6.91,US,2021-01-23 22:41:21,broken clouds
129,bredasdorp,-34.5322,20.0403,62.6,88,84,6.91,ZA,2021-01-23 22:41:39,broken clouds
130,marbella,36.5154,-4.8858,59.0,77,75,6.91,ES,2021-01-23 22:42:50,broken clouds
131,cuamba,-14.8031,36.5372,69.39,95,100,2.57,MZ,2021-01-23 22:38:39,overcast clouds
132,kimberley,-28.7323,24.7623,66.2,82,72,5.75,ZA,2021-01-23 22:44:32,broken clouds
133,gasa,31.5,34.4667,53.01,70,0,1.14,PS,2021-01-23 22:42:18,clear sky
