City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Cabo San Lucas,MX,2021-01-19 17:01:20,22.8909,-109.9124,70.0,77,90,8.05
99,Luderitz,NA,2021-01-19 17:06:02,-26.6481,15.1594,73.85,55,0,30.44
100,Wairoa,NZ,2021-01-19 17:04:23,-39.0333,177.3667,60.58,67,78,5.73
101,Nago,JP,2021-01-19 17:06:02,26.5881,127.9761,57.2,77,75,10.36
102,Lompoc,US,2021-01-19 17:06:02,34.6391,-120.4579,50.0,81,18,2.35
103,Hithadhoo,MV,2021-01-19 17:06:02,-0.6,73.0833,81.41,69,38,7.38
104,Bar Harbor,US,2021-01-19 17:01:23,44.3876,-68.2039,30.0,36,1,10.36
105,Kuching,MY,2021-01-19 17:01:46,1.55,110.3333,77.0,94,40,4.61
106,Sao Joao Da Barra,BR,2021-01-19 17:02:00,-21.6403,-41.0511,89.6,45,0,14.97
107,Kamina,CD,2021-01-19 17:06:03,-8.7386,24.9906,67.78,90,44,4.65
108,Inta,RU,2021-01-19 17:06:03,66.0317,60.1659,-1.77,93,100,2.64
109,Juegang,CN,2021-01-19 17:06:04,32.3174,121.1855,39.99,83,0,1.01
110,Guerrero Negro,MX,2021-01-19 17:06:04,27.9769,-114.0611,64.18,68,63,16.04
111,Ponta Do Sol,PT,2021-01-19 17:06:04,32.6667,-17.1,60.01,63,100,3.0
112,Ereymentau,KZ,2021-01-19 17:06:04,51.6199,73.1033,-0.35,92,100,13.11
113,Vysha,RU,2021-01-19 17:06:05,53.8477,42.3777,-2.02,93,100,3.02
114,Hanyang,CN,2021-01-19 17:06:05,32.1371,105.5126,41.0,49,99,3.0
115,Yulara,AU,2021-01-19 17:06:05,-25.2406,130.9889,75.2,19,2,6.91
116,Barrow,US,2021-01-19 17:06:05,71.2906,-156.7887,1.4,78,90,23.02
117,Brae,GB,2021-01-19 17:06:05,60.3964,-1.353,37.4,93,40,4.61
118,Martinopolis,BR,2021-01-19 17:02:11,-22.1458,-51.1708,75.2,94,40,6.91
119,Morro Agudo,BR,2021-01-19 17:01:35,-20.7314,-48.0578,87.8,58,75,6.91
120,San Borja,BO,2021-01-19 17:06:06,-14.8167,-66.85,75.56,76,99,1.77
121,Port Alfred,ZA,2021-01-19 17:06:06,-33.5906,26.891,70.0,91,50,7.0
122,Comodoro Rivadavia,AR,2021-01-19 17:06:06,-45.8667,-67.5,77.0,44,20,10.36
123,Port Elizabeth,ZA,2021-01-19 17:06:06,-33.918,25.5701,69.8,88,20,29.93
124,Palmer,US,2021-01-19 17:06:07,42.1584,-72.3287,39.2,52,75,4.61
125,La Asuncion,VE,2021-01-19 17:06:07,11.0333,-63.8628,80.19,75,41,15.19
126,Angoche,MZ,2021-01-19 17:06:07,-16.2325,39.9086,81.75,82,52,6.98
127,Caxito,AO,2021-01-19 17:06:07,-8.5785,13.6643,80.6,69,40,8.05
128,Emerald,AU,2021-01-19 17:06:07,-23.5333,148.1667,77.0,78,20,4.61
129,Komsomolskiy,UZ,2021-01-19 17:06:07,40.4272,71.7189,44.6,61,90,3.51
130,Cumra,TR,2021-01-19 17:06:08,37.5732,32.7745,19.4,73,40,4.61
131,Puerto Madryn,AR,2021-01-19 17:02:33,-42.7692,-65.0385,78.1,36,34,5.01
132,Uruzgan,AF,2021-01-19 17:06:08,32.8333,66.0,44.26,56,0,5.7
133,Sioux Lookout,CA,2021-01-19 17:06:08,50.1001,-91.917,-4.0,77,90,4.61
134,North Bend,US,2021-01-19 17:05:06,43.4065,-124.2243,39.99,93,1,8.05
135,Port-Gentil,GA,2021-01-19 17:06:09,-0.7193,8.7815,84.2,74,40,9.22
136,Isangel,VU,2021-01-19 17:06:09,-19.55,169.2667,80.58,81,90,4.0
137,Ixtapa,MX,2021-01-19 17:02:27,20.7,-105.2,73.4,68,75,4.61
138,Ribeira Grande,PT,2021-01-19 17:06:09,38.5167,-28.7,62.6,59,20,26.46
139,Mount Isa,AU,2021-01-19 17:06:09,-20.7333,139.5,82.4,61,46,8.05
140,Port Said,EG,2021-01-19 17:01:56,31.2565,32.2841,59.0,72,40,8.05
141,Christchurch,NZ,2021-01-19 17:06:10,-43.5333,172.6333,55.0,61,99,3.44
142,Plouzane,FR,2021-01-19 17:06:10,48.3833,-4.6167,50.0,100,90,19.57
143,Tiksi,RU,2021-01-19 17:06:10,71.6872,128.8694,-26.41,86,100,2.89
144,Bertoua,CM,2021-01-19 17:06:10,4.5833,13.6833,84.69,19,74,2.82
145,Moba,CN,2021-01-19 17:06:10,33.2288,105.0179,28.4,96,100,2.04
146,Mehamn,NO,2021-01-19 17:06:10,71.0357,27.8492,24.8,80,20,10.36
147,Palasa,IN,2021-01-19 17:06:11,18.7667,84.4167,68.32,78,0,3.42
148,Russell,US,2021-01-19 17:06:11,32.3502,-85.1999,57.99,35,1,3.09
149,Ravar,IR,2021-01-19 17:06:11,31.2656,56.8055,51.08,43,10,3.67
150,Marrakesh,MA,2021-01-19 17:03:47,31.6315,-8.0083,66.2,32,0,3.44
151,Camocim,BR,2021-01-19 17:06:11,-2.9022,-40.8411,85.08,67,77,12.33
152,Mandurah,AU,2021-01-19 17:06:11,-32.55,115.7,73.99,85,10,1.48
153,Gold Coast,AU,2021-01-19 17:01:50,-28.0,153.4333,72.0,83,75,11.5
154,Bouloupari,NC,2021-01-19 17:06:12,-21.8667,166.05,75.2,100,75,2.3
155,Lasa,IT,2021-01-19 17:06:12,46.6166,10.7002,30.99,58,0,3.27
156,Upernavik,GL,2021-01-19 17:06:12,72.7868,-56.1549,13.89,76,99,8.52
157,Anamur,TR,2021-01-19 17:06:12,36.0751,32.8369,48.2,66,75,5.75
158,Wiarton,CA,2021-01-19 17:06:12,44.7407,-81.1332,32.0,64,90,14.97
159,Borogontsy,RU,2021-01-19 17:06:12,62.6683,131.1683,-51.72,75,24,5.55
160,Katsuura,JP,2021-01-19 17:06:13,35.1333,140.3,36.0,29,12,5.99
161,Yelan,RU,2021-01-19 17:06:13,50.949,43.7378,-1.84,93,96,4.5
162,Vila Franca Do Campo,PT,2021-01-19 17:06:13,37.7167,-25.4333,62.01,63,40,28.77
163,Napanee,CA,2021-01-19 17:01:27,44.2501,-76.9494,27.0,86,90,2.3
164,Sitka,US,2021-01-19 17:01:34,57.0531,-135.33,39.2,75,90,13.8
165,Sakakah,SA,2021-01-19 17:06:14,29.9697,40.2064,59.0,31,0,5.75
166,Celestun,MX,2021-01-19 17:06:14,20.8667,-90.4,77.63,68,5,9.01
167,Port Macquarie,AU,2021-01-19 17:06:14,-31.4333,152.9167,66.0,99,99,10.4
168,Dikson,RU,2021-01-19 17:06:14,73.5069,80.5464,-21.96,88,85,10.56
169,Da Nang,VN,2021-01-19 17:02:05,16.0678,108.2208,66.2,82,75,3.13
170,Portland,US,2021-01-19 17:02:16,45.5234,-122.6762,39.99,86,1,3.2
171,Saint-Pierre,RE,2021-01-19 17:06:15,-21.3393,55.4781,84.2,74,40,5.75
172,Kununurra,AU,2021-01-19 17:06:15,-15.7667,128.7333,78.8,94,100,3.44
173,La Peca,PE,2021-01-19 17:06:15,-5.6111,-78.435,69.37,83,99,4.09
174,Mahebourg,MU,2021-01-19 17:01:22,-20.4081,57.7,80.6,89,75,3.44
175,Lagoa,PT,2021-01-19 17:06:15,39.05,-27.9833,58.6,70,72,30.58
176,Kupang,ID,2021-01-19 17:06:16,-10.1667,123.5833,77.52,87,100,1.32
177,Talnakh,RU,2021-01-19 17:06:16,69.4865,88.3972,-25.47,85,100,2.98
178,Salalah,OM,2021-01-19 17:06:16,17.0151,54.0924,75.2,41,0,4.61
179,Bathsheba,BB,2021-01-19 17:06:16,13.2167,-59.5167,84.2,58,40,26.46
180,Baghdad,IQ,2021-01-19 17:05:23,33.3406,44.4009,55.4,50,0,10.36
181,Bilma,NE,2021-01-19 17:06:16,18.6853,12.9164,67.41,24,5,7.07
