City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,moree,AU,75.2,clear sky,-29.4667,149.85,Molika Springs Motel
357,batticaloa,LK,75.6,clear sky,7.7102,81.6924,Grand Star Guest House
360,mareeba,AU,84.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
363,dingle,PH,75.88,light rain,10.9995,122.6711,SEGAYA PROPERTY
369,sao jose da coroa grande,BR,77.99,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
370,pitimbu,BR,78.8,few clouds,-7.4706,-34.8086,Reserva do Abiaí
375,cozumel,MX,81.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
377,puerto carreno,CO,86.54,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
380,taree,AU,79.0,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
390,ambon,ID,78.8,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
394,male,MV,82.4,few clouds,4.1748,73.5089,Hotel Octave Maldives
400,inhambane,MZ,80.24,moderate rain,-23.865,35.3833,Oceano
406,tecoanapa,MX,81.79,overcast clouds,16.5167,-98.75,Hotel Manglares
407,gold coast,AU,81.0,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
417,quatre cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
418,mildura,AU,89.01,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
435,pedasi,PA,80.69,broken clouds,7.5333,-80.0333,Selina Pedasi
441,buala,SB,84.36,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
445,daru,PG,79.77,overcast clouds,-9.0763,143.2092,Daru Lodge
449,iaciara,BR,75.47,broken clouds,-14.0958,-46.6317,Hotel Matinha
451,auki,SB,84.34,broken clouds,-8.7676,160.7034,Auki Motel
453,wajir,KE,79.09,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
454,natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
459,upata,VE,80.01,broken clouds,8.0086,-62.3989,Posada Villa Nela
462,iacu,BR,75.7,heavy intensity rain,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
464,kapoeta,SS,80.26,scattered clouds,4.7717,33.5903,Eastgate Hotel
465,sulangan,PH,80.8,scattered clouds,11.1373,123.7228,Maia's Beach Resort
470,phra phutthabat,TH,75.0,clear sky,14.7253,100.7954,Pruksa Siri View
475,aquiraz,BR,82.4,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
476,jacqueville,CI,78.8,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
485,bodden town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
488,ibipora,BR,82.4,scattered clouds,-23.2692,-51.0481,Royal Boulevard
490,thabazimbi,ZA,75.0,overcast clouds,-24.5917,27.4116,eagels rest
492,tefe,BR,82.4,scattered clouds,-3.3542,-64.7114,Aracati Hotel
495,diamantino,BR,77.52,broken clouds,-14.4086,-56.4461,Hotel Delta
503,nacala,MZ,79.27,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
512,inirida,CO,76.62,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
513,paraiso,CR,82.4,few clouds,9.8383,-83.8656,Rinconcito Verde
517,fare,PF,81.07,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
522,boyolangu,ID,76.24,overcast clouds,-8.1181,111.8935,Yos ega cv
527,santa marta,CO,84.0,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
529,sungairaya,ID,76.75,light rain,0.7,108.9,Mess P.Milu
530,anapolis,BR,77.0,scattered clouds,-16.3267,-48.9528,Hotel Anápolis
534,ewa beach,US,80.6,few clouds,21.3156,-158.0072,Base Lodging
535,sokoni,TZ,80.96,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
538,ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
542,pietermaritzburg,ZA,78.01,clear sky,-29.6168,30.3928,Redlands Hotel
543,denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
550,kismayo,SO,77.52,clear sky,-0.3582,42.5454,Agan-Hotel
554,loandjili,CG,76.53,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
560,panama city,PA,86.0,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
568,sola,VU,82.4,overcast clouds,-13.8833,167.55,Leumerus Bungalows
579,welahan,ID,78.8,heavy intensity rain,-6.8,110.7167,Pp. Tahfidz Manzilul Qur'an
588,vanimo,PG,82.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
590,omboue,GA,77.52,overcast clouds,-1.5746,9.2618,Hotel Olako
594,belmonte,BR,78.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
598,karaton,ID,80.01,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
599,atambua,ID,77.16,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
602,flinders,AU,80.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
604,dubbo,AU,86.0,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
608,aracati,BR,80.76,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
610,kloulklubed,PW,82.99,light rain,7.0419,134.2556,Storyboard Beach Resort
612,bonthe,SL,77.59,clear sky,7.5264,-12.505,Bonthe Holiday Village
619,kuching,MY,77.0,scattered clouds,1.55,110.3333,Hilton Kuching
630,kandrian,PG,84.4,overcast clouds,-6.2167,149.55,Kandrian Station
635,maputo,MZ,81.0,broken clouds,-25.9653,32.5892,Pestana Rovuma
640,acari,PE,75.36,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
642,aborlan,PH,75.2,light rain,9.4352,118.5492,Kevina Transient House
646,punta alta,AR,89.44,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
649,takoradi,GH,79.0,scattered clouds,4.8845,-1.7554,Raybow International Hotel
651,bambanglipuro,ID,77.14,light rain,-7.95,110.2833,Puri Brata
654,porto belo,BR,78.01,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
658,puerto ayacucho,VE,79.54,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
660,magdalena,PH,78.8,few clouds,14.1999,121.429,Samparada & Gestiada Residences
665,cacoal,BR,76.28,light rain,-11.4386,-61.4472,Hotel BR 364
675,morwell,AU,81.0,clear sky,-38.2333,146.4,Morwell Motel
681,kailua,US,80.6,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
685,angoche,MZ,79.27,overcast clouds,-16.2325,39.9086,Guest House HESADA
691,manicore,BR,79.66,scattered clouds,-5.8092,-61.3003,Hotel Durval
693,poum,NC,81.05,overcast clouds,-20.2333,164.0167,Gîte kajeon
698,mogadishu,SO,75.85,broken clouds,2.0371,45.3438,Hotel Juba
